OBJECTID,TOD_ID,Station_Name,BG2010,Tract
1,8,ABERDEEN,240253029012,24025302901
2,8,ABERDEEN,240253029011,24025302901
3,8,ABERDEEN,240253065003,24025306500
4,8,ABERDEEN,240253029022,24025302902
5,8,ABERDEEN,240253028021,24025302802
6,8,ABERDEEN,240253028022,24025302802
7,8,ABERDEEN,240253029021,24025302902
8,8,ABERDEEN,240253029023,24025302902
9,75,ADDISON ROAD-SEAT PLEASANT,240338028031,24033802803
10,75,ADDISON ROAD-SEAT PLEASANT,240338028041,24033802804
11,75,ADDISON ROAD-SEAT PLEASANT,240338027001,24033802700
12,75,ADDISON ROAD-SEAT PLEASANT,240338028042,24033802804
13,75,ADDISON ROAD-SEAT PLEASANT,240338029013,24033802901
14,75,ADDISON ROAD-SEAT PLEASANT,240338028051,24033802805
15,75,ADDISON ROAD-SEAT PLEASANT,240338028052,24033802805
16,75,ADDISON ROAD-SEAT PLEASANT,240338028053,24033802805
17,75,ADDISON ROAD-SEAT PLEASANT,240338029012,24033802901
18,75,ADDISON ROAD-SEAT PLEASANT,240338028044,24033802804
19,76,BALTIMORE HIGHLANDS,240054301012,24005430101
20,76,BALTIMORE HIGHLANDS,240054301041,24005430104
21,76,BALTIMORE HIGHLANDS,240059801001,24005980100
22,76,BALTIMORE HIGHLANDS,240054301042,24005430104
23,77,BARNESVILLE,240317004001,24031700400
24,77,BARNESVILLE,240317004002,24031700400
25,72,BETHESDA,240317047002,24031704700
26,72,BETHESDA,240317047001,24031704700
27,72,BETHESDA,240317050001,24031705000
28,72,BETHESDA,240317050003,24031705000
29,72,BETHESDA,240317050002,24031705000
30,72,BETHESDA,240317054001,24031705400
31,72,BETHESDA,240317048052,24031704805
32,72,BETHESDA,240317048062,24031704806
33,72,BETHESDA,240317048051,24031704805
34,72,BETHESDA,240317048031,24031704803
35,72,BETHESDA,240317048032,24031704803
36,72,BETHESDA,240317048033,24031704803
37,72,BETHESDA,240317048061,24031704806
38,72,BETHESDA,240317048041,24031704804
39,78,BOWIE STATE,240338004103,24033800410
40,78,BOWIE STATE,240338004102,24033800410
41,79,BOYDS,240317003121,24031700312
42,79,BOYDS,240317006112,24031700611
43,79,BOYDS,240317004001,24031700400
44,15,BRANCH AVENUE,240338019052,24033801905
45,15,BRANCH AVENUE,240338020011,24033802001
46,15,BRANCH AVENUE,240338019072,24033801907
47,15,BRANCH AVENUE,240338019051,24033801905
48,80,BRUNSWICK,240217754001,24021775400
49,80,BRUNSWICK,240217754005,24021775400
50,80,BRUNSWICK,240217753021,24021775302
51,80,BRUNSWICK,240217753025,24021775302
52,80,BRUNSWICK,240217754002,24021775400
53,80,BRUNSWICK,240217754003,24021775400
54,80,BRUNSWICK,240217754004,24021775400
55,83,BWI THURGOOD MARSHALL AIRPORT,240039800001,24003980000
56,81,BWI BUSINESS DISTRICT,240039800001,24003980000
57,81,BWI BUSINESS DISTRICT,240037512002,24003751200
58,82,BWI MARSHALL RAIL STATION,240037512003,24003751200
59,82,BWI MARSHALL RAIL STATION,240039800001,24003980000
60,84,CAMDEN YARDS-CAMDEN STATION,245100401001,24510040100
61,84,CAMDEN YARDS-CAMDEN STATION,245102201001,24510220100
62,84,CAMDEN YARDS-CAMDEN STATION,245102101001,24510210100
63,84,CAMDEN YARDS-CAMDEN STATION,245100402001,24510040200
64,84,CAMDEN YARDS-CAMDEN STATION,245102201004,24510220100
65,84,CAMDEN YARDS-CAMDEN STATION,245102101002,24510210100
66,84,CAMDEN YARDS-CAMDEN STATION,245102301002,24510230100
67,84,CAMDEN YARDS-CAMDEN STATION,245102302001,24510230200
68,84,CAMDEN YARDS-CAMDEN STATION,245102201002,24510220100
69,84,CAMDEN YARDS-CAMDEN STATION,245102201003,24510220100
70,84,CAMDEN YARDS-CAMDEN STATION,245100401002,24510040100
71,84,CAMDEN YARDS-CAMDEN STATION,245101803002,24510180300
72,84,CAMDEN YARDS-CAMDEN STATION,245102102002,24510210200
73,85,CAPITOL HEIGHTS,240338027002,24033802700
74,85,CAPITOL HEIGHTS,240338028031,24033802803
75,85,CAPITOL HEIGHTS,240338027001,24033802700
76,85,CAPITOL HEIGHTS,240338029013,24033802901
77,85,CAPITOL HEIGHTS,240338029011,24033802901
78,85,CAPITOL HEIGHTS,240338027003,24033802700
79,85,CAPITOL HEIGHTS,240338030012,24033803001
80,86,CENTRE STREET,245100401001,24510040100
81,86,CENTRE STREET,245101702003,24510170200
82,86,CENTRE STREET,245100402001,24510040200
83,86,CENTRE STREET,245101101002,24510110100
84,86,CENTRE STREET,245101102002,24510110200
85,86,CENTRE STREET,245101703002,24510170300
86,86,CENTRE STREET,245101102003,24510110200
87,86,CENTRE STREET,245101102001,24510110200
88,86,CENTRE STREET,245101003001,24510100300
89,86,CENTRE STREET,245101701001,24510170100
90,86,CENTRE STREET,245101702001,24510170200
91,86,CENTRE STREET,245101703001,24510170300
92,86,CENTRE STREET,245101101001,24510110100
93,86,CENTRE STREET,245102805002,24510280500
94,86,CENTRE STREET,245101701002,24510170100
95,86,CENTRE STREET,245100401002,24510040100
96,86,CENTRE STREET,245101801001,24510180100
97,74,CHARLES CENTER,245100401001,24510040100
98,74,CHARLES CENTER,245102201001,24510220100
99,74,CHARLES CENTER,245100402001,24510040200
100,74,CHARLES CENTER,245101101002,24510110100
101,74,CHARLES CENTER,245101102002,24510110200
102,74,CHARLES CENTER,245100302001,24510030200
103,74,CHARLES CENTER,245101102003,24510110200
104,74,CHARLES CENTER,245101701001,24510170100
105,74,CHARLES CENTER,245102805002,24510280500
106,74,CHARLES CENTER,245102201002,24510220100
107,74,CHARLES CENTER,245102201003,24510220100
108,74,CHARLES CENTER,245100401002,24510040100
109,87,CHERRY HILL,245102503011,24510250301
110,87,CHERRY HILL,245102502072,24510250207
111,87,CHERRY HILL,245102503012,24510250301
112,87,CHERRY HILL,245102502051,24510250205
113,87,CHERRY HILL,245102502042,24510250204
114,87,CHERRY HILL,245102502052,24510250205
115,87,CHERRY HILL,245102502053,24510250205
116,87,CHERRY HILL,245102502071,24510250207
117,88,CHEVERLY,240338042002,24033804200
118,88,CHEVERLY,240338042003,24033804200
119,88,CHEVERLY,240338043002,24033804300
120,88,CHEVERLY,240338033003,24033803300
121,88,CHEVERLY,240338042001,24033804200
122,88,CHEVERLY,240338031001,24033803100
123,88,CHEVERLY,240338041011,24033804101
124,88,CHEVERLY,240338032001,24033803200
125,89,COLD SPRING LANE,245102715031,24510271503
126,89,COLD SPRING LANE,245101308051,24510130805
127,89,COLD SPRING LANE,245101308033,24510130803
128,89,COLD SPRING LANE,245101308032,24510130803
129,89,COLD SPRING LANE,245102714001,24510271400
130,89,COLD SPRING LANE,245101307005,24510130700
131,89,COLD SPRING LANE,245102714002,24510271400
132,89,COLD SPRING LANE,245101308031,24510130803
133,89,COLD SPRING LANE,245101308061,24510130806
134,73,COLLEGE PARK-UNIVERSITY OF MARYLAND,240338071021,24033807102
135,73,COLLEGE PARK-UNIVERSITY OF MARYLAND,240338072001,24033807200
136,73,COLLEGE PARK-UNIVERSITY OF MARYLAND,240338071022,24033807102
137,73,COLLEGE PARK-UNIVERSITY OF MARYLAND,240338070003,24033807000
138,90,CONVENTION CENTER,245100401001,24510040100
139,90,CONVENTION CENTER,245102201001,24510220100
140,90,CONVENTION CENTER,245102101001,24510210100
141,90,CONVENTION CENTER,245100402001,24510040200
142,90,CONVENTION CENTER,245102201004,24510220100
143,90,CONVENTION CENTER,245102101002,24510210100
144,90,CONVENTION CENTER,245101803001,24510180300
145,90,CONVENTION CENTER,245102301002,24510230100
146,90,CONVENTION CENTER,245102201002,24510220100
147,90,CONVENTION CENTER,245102201003,24510220100
148,90,CONVENTION CENTER,245100401002,24510040100
149,90,CONVENTION CENTER,245101803002,24510180300
150,91,CROMWELL-GLEN BURNIE,240037508012,24003750801
151,91,CROMWELL-GLEN BURNIE,240037508014,24003750801
152,91,CROMWELL-GLEN BURNIE,240037508042,24003750804
153,91,CROMWELL-GLEN BURNIE,240037509003,24003750900
154,91,CROMWELL-GLEN BURNIE,240037509001,24003750900
155,92,CULTURAL CENTER,245101702003,24510170200
156,92,CULTURAL CENTER,245101205002,24510120500
157,92,CULTURAL CENTER,245101205001,24510120500
158,92,CULTURAL CENTER,245101101002,24510110100
159,92,CULTURAL CENTER,245101102002,24510110200
160,92,CULTURAL CENTER,245101401004,24510140100
161,92,CULTURAL CENTER,245101401002,24510140100
162,92,CULTURAL CENTER,245101102003,24510110200
163,92,CULTURAL CENTER,245101102001,24510110200
164,92,CULTURAL CENTER,245101001002,24510100100
165,92,CULTURAL CENTER,245101401001,24510140100
166,92,CULTURAL CENTER,245101401003,24510140100
167,92,CULTURAL CENTER,245101701001,24510170100
168,92,CULTURAL CENTER,245101702002,24510170200
169,92,CULTURAL CENTER,245101402001,24510140200
170,92,CULTURAL CENTER,245101702001,24510170200
171,92,CULTURAL CENTER,245101402002,24510140200
172,92,CULTURAL CENTER,245101101001,24510110100
