GISJOIN,YEAR,REGIONA,DIVISIONA,STATE,STATEA,COUNTY,COUNTYA,COUSUBA,PLACEA,TRACTA,BLKGRPA,CONCITA,AIANHHA,RES_ONLYA,TRUSTA,AITSCEA,ANRCA,CBSAA,CSAA,METDIVA,NECTAA,CNECTAA,NECTADIVA,UAA,CDCURRA,SLDUA,SLDLA,ZCTA5A,SUBMCDA,SDELMA,SDSECA,SDUNIA,PUMA5A,NAME,BTTRA,BTBGA,AJZAE001,AJ1TE001,AJ1TE002,AJ1TE003
GIS Join Match Code,Data File Year,Region Code,Division Code,State Name,State Code,County Name,County Code,County Subdivision Code,Place Code,Census Tract Code,Block Group Code,Consolidated City Code,American Indian Area/Alaska Native Area/Hawaiian Home Land Code,American Indian Area/Alaska Native Area (Reservation or Statistical Entity Only) Code,American Indian Area (Off-Reservation Trust Land Only)/Hawaiian Home Land Code,Tribal Subdivision/Remainder Code,Alaska Native Regional Corporation Code,Metropolitan Statistical Area/Micropolitan Statistical Area Code,Combined Statistical Area Code,Metropolitan Division Code,New England City and Town Area Code,Combined New England City and Town Area Code,New England City and Town Area Division Code,Urban Area Code,"Congressional District (2019-2021, 116th Congress) Code",State Legislative District (Upper Chamber) Code,State Legislative District (Lower Chamber) Code,5-Digit ZIP Code Tabulation Area Code,Subminor Civil Division Code,School District (Elementary)/Remainder Code,School District (Secondary)/Remainder Code,School District (Unified)/Remainder Code,Public Use Microdata Sample Area (PUMA) Code,Area Name,Tribal Census Tract Code,Tribal Block Group Code,Median household income in the past 12 months (in 2018 inflation-adjusted dollars),Total,Occupied,Vacant
G2400030701101,2014-2018,,,Maryland,24,Anne Arundel County,3,,,701101,,,,,,,,,,,,,,,,,,,,,,,,"Census Tract 7011.01, Anne Arundel County, Maryland",,,120955,1626,1484,142
G2400030701102,2014-2018,,,Maryland,24,Anne Arundel County,3,,,701102,,,,,,,,,,,,,,,,,,,,,,,,"Census Tract 7011.02, Anne Arundel County, Maryland",,,86358,3239,3191,48
G2400030701200,2014-2018,,,Maryland,24,Anne Arundel County,3,,,701200,,,,,,,,,,,,,,,,,,,,,,,,"Census Tract 7012, Anne Arundel County, Maryland",,,121657,3435,3065,370
G2400030701300,2014-2018,,,Maryland,24,Anne Arundel County,3,,,701300,,,,,,,,,,,,,,,,,,,,,,,,"Census Tract 7013, Anne Arundel County, Maryland",,,137645,2856,2744,112
G2400030701400,2014-2018,,,Maryland,24,Anne Arundel County,3,,,701400,,,,,,,,,,,,,,,,,,,,,,,,"Census Tract 7014, Anne Arundel County, Maryland",,,116435,1345,1239,106
G2400030702100,2014-2018,,,Maryland,24,Anne Arundel County,3,,,702100,,,,,,,,,,,,,,,,,,,,,,,,"Census Tract 7021, Anne Arundel County, Maryland",,,119414,2880,2637,243
G2400030702204,2014-2018,,,Maryland,24,Anne Arundel County,3,,,702204,,,,,,,,,,,,,,,,,,,,,,,,"Census Tract 7022.04, Anne Arundel County, Maryland",,,141797,1545,1518,27
G2400030702205,2014-2018,,,Maryland,24,Anne Arundel County,3,,,702205,,,,,,,,,,,,,,,,,,,,,,,,"Census Tract 7022.05, Anne Arundel County, Maryland",,,112442,2382,2277,105
G2400030702206,2014-2018,,,Maryland,24,Anne Arundel County,3,,,702206,,,,,,,,,,,,,,,,,,,,,,,,"Census Tract 7022.06, Anne Arundel County, Maryland",,,110372,2449,2381,68
G2400030702208,2014-2018,,,Maryland,24,Anne Arundel County,3,,,702208,,,,,,,,,,,,,,,,,,,,,,,,"Census Tract 7022.08, Anne Arundel County, Maryland",,,113339,2846,2699,147
G2400030702209,2014-2018,,,Maryland,24,Anne Arundel County,3,,,702209,,,,,,,,,,,,,,,,,,,,,,,,"Census Tract 7022.09, Anne Arundel County, Maryland",,,150735,1476,1454,22
G2400030702300,2014-2018,,,Maryland,24,Anne Arundel County,3,,,702300,,,,,,,,,,,,,,,,,,,,,,,,"Census Tract 7023, Anne Arundel County, Maryland",,,134934,2059,1999,60
G2400030702402,2014-2018,,,Maryland,24,Anne Arundel County,3,,,702402,,,,,,,,,,,,,,,,,,,,,,,,"Census Tract 7024.02, Anne Arundel County, Maryland",,,105474,3665,3130,535
G2400030702500,2014-2018,,,Maryland,24,Anne Arundel County,3,,,702500,,,,,,,,,,,,,,,,,,,,,,,,"Census Tract 7025, Anne Arundel County, Maryland",,,97098,2309,2104,205
G2400030702601,2014-2018,,,Maryland,24,Anne Arundel County,3,,,702601,,,,,,,,,,,,,,,,,,,,,,,,"Census Tract 7026.01, Anne Arundel County, Maryland",,,103063,2266,2160,106
G2400030702602,2014-2018,,,Maryland,24,Anne Arundel County,3,,,702602,,,,,,,,,,,,,,,,,,,,,,,,"Census Tract 7026.02, Anne Arundel County, Maryland",,,145544,2723,2537,186
G2400030702701,2014-2018,,,Maryland,24,Anne Arundel County,3,,,702701,,,,,,,,,,,,,,,,,,,,,,,,"Census Tract 7027.01, Anne Arundel County, Maryland",,,102386,2465,2266,199
G2400030702702,2014-2018,,,Maryland,24,Anne Arundel County,3,,,702702,,,,,,,,,,,,,,,,,,,,,,,,"Census Tract 7027.02, Anne Arundel County, Maryland",,,159722,1670,1442,228
G2400030706101,2014-2018,,,Maryland,24,Anne Arundel County,3,,,706101,,,,,,,,,,,,,,,,,,,,,,,,"Census Tract 7061.01, Anne Arundel County, Maryland",,,82642,2052,1719,333
G2400030706301,2014-2018,,,Maryland,24,Anne Arundel County,3,,,706301,,,,,,,,,,,,,,,,,,,,,,,,"Census Tract 7063.01, Anne Arundel County, Maryland",,,73671,2598,2324,274
G2400030706302,2014-2018,,,Maryland,24,Anne Arundel County,3,,,706302,,,,,,,,,,,,,,,,,,,,,,,,"Census Tract 7063.02, Anne Arundel County, Maryland",,,87969,1966,1694,272
G2400030706401,2014-2018,,,Maryland,24,Anne Arundel County,3,,,706401,,,,,,,,,,,,,,,,,,,,,,,,"Census Tract 7064.01, Anne Arundel County, Maryland",,,69992,2361,2209,152
G2400030706402,2014-2018,,,Maryland,24,Anne Arundel County,3,,,706402,,,,,,,,,,,,,,,,,,,,,,,,"Census Tract 7064.02, Anne Arundel County, Maryland",,,78958,1664,1467,197
G2400030706500,2014-2018,,,Maryland,24,Anne Arundel County,3,,,706500,,,,,,,,,,,,,,,,,,,,,,,,"Census Tract 7065, Anne Arundel County, Maryland",,,94650,2558,2345,213
G2400030706600,2014-2018,,,Maryland,24,Anne Arundel County,3,,,706600,,,,,,,,,,,,,,,,,,,,,,,,"Census Tract 7066, Anne Arundel County, Maryland",,,117235,2054,1937,117
G2400030706700,2014-2018,,,Maryland,24,Anne Arundel County,3,,,706700,,,,,,,,,,,,,,,,,,,,,,,,"Census Tract 7067, Anne Arundel County, Maryland",,,96813,184,171,13
G2400030707001,2014-2018,,,Maryland,24,Anne Arundel County,3,,,707001,,,,,,,,,,,,,,,,,,,,,,,,"Census Tract 7070.01, Anne Arundel County, Maryland",,,97146,2625,2257,368
G2400030707002,2014-2018,,,Maryland,24,Anne Arundel County,3,,,707002,,,,,,,,,,,,,,,,,,,,,,,,"Census Tract 7070.02, Anne Arundel County, Maryland",,,96250,2033,1745,288
G2400030708001,2014-2018,,,Maryland,24,Anne Arundel County,3,,,708001,,,,,,,,,,,,,,,,,,,,,,,,"Census Tract 7080.01, Anne Arundel County, Maryland",,,108684,1667,1394,273
G2400030708004,2014-2018,,,Maryland,24,Anne Arundel County,3,,,708004,,,,,,,,,,,,,,,,,,,,,,,,"Census Tract 7080.04, Anne Arundel County, Maryland",,,74153,2220,2100,120
G2400030730100,2014-2018,,,Maryland,24,Anne Arundel County,3,,,730100,,,,,,,,,,,,,,,,,,,,,,,,"Census Tract 7301, Anne Arundel County, Maryland",,,101278,4589,4441,148
G2400030730203,2014-2018,,,Maryland,24,Anne Arundel County,3,,,730203,,,,,,,,,,,,,,,,,,,,,,,,"Census Tract 7302.03, Anne Arundel County, Maryland",,,48397,2802,2583,219
G2400030730204,2014-2018,,,Maryland,24,Anne Arundel County,3,,,730204,,,,,,,,,,,,,,,,,,,,,,,,"Census Tract 7302.04, Anne Arundel County, Maryland",,,67886,2030,1958,72
G2400030730300,2014-2018,,,Maryland,24,Anne Arundel County,3,,,730300,,,,,,,,,,,,,,,,,,,,,,,,"Census Tract 7303, Anne Arundel County, Maryland",,,87868,1227,1116,111
G2400030730401,2014-2018,,,Maryland,24,Anne Arundel County,3,,,730401,,,,,,,,,,,,,,,,,,,,,,,,"Census Tract 7304.01, Anne Arundel County, Maryland",,,77851,2001,1906,95
G2400030730402,2014-2018,,,Maryland,24,Anne Arundel County,3,,,730402,,,,,,,,,,,,,,,,,,,,,,,,"Census Tract 7304.02, Anne Arundel County, Maryland",,,63525,2656,2440,216
G2400030730502,2014-2018,,,Maryland,24,Anne Arundel County,3,,,730502,,,,,,,,,,,,,,,,,,,,,,,,"Census Tract 7305.02, Anne Arundel County, Maryland",,,76613,2530,2156,374
G2400030730504,2014-2018,,,Maryland,24,Anne Arundel County,3,,,730504,,,,,,,,,,,,,,,,,,,,,,,,"Census Tract 7305.04, Anne Arundel County, Maryland",,,94861,3116,2888,228
G2400030730505,2014-2018,,,Maryland,24,Anne Arundel County,3,,,730505,,,,,,,,,,,,,,,,,,,,,,,,"Census Tract 7305.05, Anne Arundel County, Maryland",,,52182,2262,2128,134
G2400030730506,2014-2018,,,Maryland,24,Anne Arundel County,3,,,730506,,,,,,,,,,,,,,,,,,,,,,,,"Census Tract 7305.06, Anne Arundel County, Maryland",,,48608,1973,1749,224
G2400030730601,2014-2018,,,Maryland,24,Anne Arundel County,3,,,730601,,,,,,,,,,,,,,,,,,,,,,,,"Census Tract 7306.01, Anne Arundel County, Maryland",,,178828,2381,2267,114
G2400030730603,2014-2018,,,Maryland,24,Anne Arundel County,3,,,730603,,,,,,,,,,,,,,,,,,,,,,,,"Census Tract 7306.03, Anne Arundel County, Maryland",,,133333,1072,1000,72
G2400030730604,2014-2018,,,Maryland,24,Anne Arundel County,3,,,730604,,,,,,,,,,,,,,,,,,,,,,,,"Census Tract 7306.04, Anne Arundel County, Maryland",,,149917,2557,2525,32
G2400030730700,2014-2018,,,Maryland,24,Anne Arundel County,3,,,730700,,,,,,,,,,,,,,,,,,,,,,,,"Census Tract 7307, Anne Arundel County, Maryland",,,127392,2713,2580,133
G2400030730800,2014-2018,,,Maryland,24,Anne Arundel County,3,,,730800,,,,,,,,,,,,,,,,,,,,,,,,"Census Tract 7308, Anne Arundel County, Maryland",,,176818,988,920,68
G2400030730901,2014-2018,,,Maryland,24,Anne Arundel County,3,,,730901,,,,,,,,,,,,,,,,,,,,,,,,"Census Tract 7309.01, Anne Arundel County, Maryland",,,144423,993,908,85
