OBJECTID_1,STATION NAME,Total Population,White Alone,Black or African American Alone,Asian Alone,American Indian & Alaskan Native Alone,Other Race,Population of Two or More races,Hispanic or Latino,Not Hispanic or Latino,Total Population Percent,White Alone Percent,Black or African American Alone Percent,Asian Alone Percent,American Indian & Alaskan Native Percent,Others Percent,Population of Two or More Races Percent,Hispanic or Latino Percent,Not Hispanic or Latino Percent,Total Population,Under 5 Years,5 to 17 Years,18 to 24 Years,25 to 34 Years,35 to 44 Years,45 to 54 Years,55 to 64 Years,65 years and Over,Total Population Percent,Under 5 Years Percent,5 to 17 Years Percent,18 to 24 Years Percent,25 to 34 Years Percent,35 to 44 Years Percent,45 to 54 Years Percent,55 to 64 Years Percent,65 Years and Ober Percent,Total Households,1 Person Households,2 or More Person Households,Family Households,Non-Family Households,Total Households Percent,1 Person Households Percent,2 or More Person Households Percent,Family Households Percent,Non-Family Households Percent,Total Housing Units,Occupied Housing Units,Vacant Housing Units,Owner-Occupied Units,Renter-Occupied Units,Total Housing Units Percent,Occupied Housing Units Percent,Vacant Housing Units Percent,Owner-Occupied Units Percent,Renter-Occupied Units Percent,Occupied Units Percent (Check digit),Population for Education,Number High School Graduate or Higher,Number Bachelor Degree or Better,Educational Total Percent,Percent High School Graduate or Higher,Percent Bachelor Degree or Higher,Estimate Total Number of Families,Estimate Below Poverty,Estimate Number of Families Percent,Estimate Below Poverty Percent,Workers 16 Years and Over,"Car, Truck, or Van - Drove Alone","Car, Truck, or Van - Carpooled",Public Transportation (including Taxi),Walked,Other Means,Worked at Home,Workers 16 Years and Over Percent,"Car, Truck, or Van - Drove Alone Percent","Car, Truck, or Van - Carpooled Percent",Public Transportation (including Taxi) Percent,Walked Percent,Other means Percent,Worked at Home Percent,Median Travel Time to Work (in minutes),Total Number of Households for Income,"Less than $24,999","$25,000 to $49,999","$50,000 to $74,999","$75,000 to $99,999","$100,000 to $149,999","$150,000 or More",Number of Households Percent,"Less than $24,999 Percent","$25,000 to $49,999 Percent","$50,000 to $74,999 Percent","$75,000 to $99,999 Percent","$100,000 to $149,999 Percent","$150,000 or More",Median Household Income,Total Housing Units,"1-unit, detached","1-unit, attached",2 units,3 to 4 units,5 to 9 units,10 to 19 units,20 or more units,Mobile home,"Boat, RV, van, etc.",Total Housing Units Percent,"1-unit, detached Percent","1-unit, attached Percent",2 units Percent,3 to 4 units Percent,5 to 9 Units Percent,10 to 19 units Percent,20 or more units Percent,Mobile home Percent,"Boat, RV, van, etc. Percent",Owned Units (Valued),"Less than $50,000","$50,000 to $99,999","$100,000 to $149,999","$150,000 to $199,999","$200,000 to $299,999","$300,000 to $499,999","$500,000 to $999,999","$1,000,000 or more",Valued Units Percent,"Less than $50,000 Percent","$50,000 to $99,999 Percent","$100,000 to $149,999 Percent","$150,000 to $199,999 Percent","$200,000 to $299,999 Percent","$300,000 to 499,999 Percent","$500,000 to $999,999 Percent","$1,000,000 or more Percent",Median Value (owner-occupied),Household Population for Vehicles,No Vehicle Available,1 Vehicle Available,2 Vehicles Available,3 or More Vehicles Available,Household Vehicles Percent,No Vehicle Available Percent,1 Vehicle Available Percent,2 Vehicles Available Percent,3 or More Vehicles Available Percent,Specified Renter-Occupied Units,Units with Cash Rent,Less than $200,$200 to $299,$300 to $499,$500 to $749,$750 to $999,"$1,000 to $1,499","$1,500 or More",No Cash Rent,Total Rental Units Percent,Units with Cash Rent Percent,Less than $200 Percent,$200 to $299 Percent,$300 to $499 Percent,$500 to $749 Percent,$750 to $999 Percent,"$1,000 to $1,499 Percent","$1,500 or more Percent",No Cash Rent Percent,Median (gross rent),x,y
45,ABERDEEN,10776,5938,3731,539,41,118,818,657,10119,1,0.55,0.35,0.05,0,0.01,0.08,0.06,0.94,10776,804,1871,889,1648,998,1819,1497,1250,1,0.07,0.17,0.08,0.15,0.09,0.17,0.14,0.12,4290,1208,3082,2759,1531,1,0.28,0.72,0.64,0.36,4957,4290,667,2194,2096,1,0.87,0.13,0.51,0.49,1,7212,3880,1408,1,0.54,0.2,2759,362,1,0.13,5044,4131,638,133,92,20,30,1,0.82,0.13,0.03,0.02,0,0.01,18.91,4290,1007,1099,715,536,530,403,1,0.23,0.26,0.17,0.12,0.12,0.09,51363.64,4957,2378,974,107,516,342,220,106,284,30,1,0.48,0.2,0.02,0.1,0.07,0.04,0.02,0.06,0.01,2194,256,147,417,530,695,133,211,0,1,0.12,0.07,0.19,0.24,0.32,0.06,0.1,0,176132.08,4290,439,1699,1553,586,1,0.1,0.4,0.36,0.14,2096,2041,37,86,96,217,220,786,654,55,1,0.97,0.02,0.04,0.05,0.1,0.1,0.38,0.31,0.03,1231.87,471966.34420000017,204774.29769999906
83,ADDISON ROAD-SEAT PLEASANT,15192,1254,13314,22,150,259,386,1407,13785,1,0.08,0.88,0,0.01,0.02,0.03,0.09,0.91,15192,907,2452,1147,2654,2026,1743,1899,2364,1,0.06,0.16,0.08,0.17,0.13,0.11,0.13,0.16,5709,2022,3687,3420,2289,1,0.35,0.65,0.6,0.4,6092,5709,383,3843,1866,1,0.94,0.06,0.67,0.33,1,10686,5854,2272,1,0.55,0.21,3420,396,1,0.12,6815,4322,738,1666,10,21,58,1,0.63,0.11,0.24,0,0,0.01,34.15,5709,1212,1065,832,1061,1008,531,1,0.21,0.19,0.15,0.19,0.18,0.09,67352.76,6092,3297,1678,19,8,465,320,305,0,0,1,0.54,0.28,0,0,0.08,0.05,0.05,0,0,3843,118,170,283,927,1706,605,256,23,1,0.03,0.04,0.07,0.24,0.44,0.16,0.07,0.01,224824.15,5709,684,1986,2117,769,1,0.12,0.35,0.37,0.13,1866,1621,25,132,72,124,154,508,851,245,1,0.87,0.01,0.07,0.04,0.07,0.08,0.27,0.46,0.13,1298.72,409075.16870000213,135437.88560000062
127,ADELPHI ROAD WEST CAMPUS,15718,8344,2527,2903,25,1354,1130,1821,13897,1,0.53,0.16,0.18,0,0.09,0.07,0.12,0.88,15718,259,676,10915,1258,692,562,607,749,1,0.02,0.04,0.69,0.08,0.04,0.04,0.04,0.05,2118,371,1747,1107,1011,1,0.18,0.82,0.52,0.48,2316,2118,198,1030,1088,1,0.91,0.09,0.49,0.51,1,3868,2681,2034,1,0.69,0.53,1107,53,1,0.05,5536,1876,376,661,1992,161,470,1,0.34,0.07,0.12,0.36,0.03,0.08,20.93,2118,469,364,315,217,336,417,1,0.22,0.17,0.15,0.1,0.16,0.2,67936.51,2316,1447,0,4,70,87,179,524,5,0,1,0.62,0,0,0.03,0.04,0.08,0.23,0,0,1030,11,0,23,80,195,455,471,10,1,0.01,0,0.02,0.08,0.19,0.44,0.46,0.01,390549.45,2118,263,629,717,459,1,0.12,0.3,0.34,0.22,1088,1067,0,0,0,20,76,378,614,21,1,0.98,0,0,0,0.02,0.07,0.35,0.56,0.02,1839.27,403911.95660000294,146378.38309999928
122,ANNAPOLIS ROAD-GLENRIDGE,11458,2496,5769,257,200,2486,500,4402,7056,1,0.22,0.5,0.02,0.02,0.22,0.04,0.38,0.62,11458,1179,2114,1017,1730,1569,1454,1436,959,1,0.1,0.18,0.09,0.15,0.14,0.13,0.13,0.08,3419,953,2466,2378,1041,1,0.28,0.72,0.7,0.3,3585,3419,166,2172,1247,1,0.95,0.05,0.64,0.36,1,7148,3070,1015,1,0.43,0.14,2378,144,1,0.06,5036,3330,565,984,60,57,40,1,0.66,0.11,0.2,0.01,0.01,0.01,33.9,3419,462,944,769,491,516,237,1,0.14,0.28,0.22,0.14,0.15,0.07,59866.71,3585,1973,241,27,39,397,733,175,0,0,1,0.55,0.07,0.01,0.01,0.11,0.2,0.05,0,0,2172,201,158,200,555,776,266,150,9,1,0.09,0.07,0.09,0.26,0.36,0.12,0.07,0,197477.48,3419,411,1243,1085,627,1,0.12,0.36,0.32,0.18,1247,1223,16,9,9,0,60,648,505,24,1,0.98,0.01,0.01,0.01,0,0.05,0.52,0.4,0.02,1399.31,409960.62619999796,142567.91580000147
24,BALTIMORE HIGHLANDS,4679,4179,310,58,0,36,192,1002,3677,1,0.89,0.07,0.01,0,0.01,0.04,0.21,0.79,4679,245,756,297,680,717,557,833,594,1,0.05,0.16,0.06,0.15,0.15,0.12,0.18,0.13,1495,242,1253,1116,379,1,0.16,0.84,0.75,0.25,1703,1495,208,1080,415,1,0.88,0.12,0.72,0.28,1,3381,1878,279,1,0.56,0.08,1116,119,1,0.11,2317,1939,235,66,43,17,17,1,0.84,0.1,0.03,0.02,0.01,0.01,22.65,1495,218,339,303,279,228,128,1,0.15,0.23,0.2,0.19,0.15,0.09,65717.82,1703,1025,435,42,116,38,0,24,23,0,1,0.6,0.26,0.02,0.07,0.02,0,0.01,0.01,0,1080,39,52,182,389,360,49,96,9,1,0.04,0.05,0.17,0.36,0.33,0.05,0.09,0.01,184318.77,1495,45,517,579,309,1,0.03,0.35,0.39,0.21,415,373,0,0,0,43,97,185,90,42,1,0.9,0,0,0,0.1,0.23,0.45,0.22,0.1,1125.68,431691.3420000002,174170.23999999836
95,BARNESVILLE,2063,1800,125,115,0,0,46,70,1993,1,0.87,0.06,0.06,0,0,0.02,0.03,0.97,2063,74,221,256,148,177,327,440,420,1,0.04,0.11,0.12,0.07,0.09,0.16,0.21,0.2,799,182,617,595,204,1,0.23,0.77,0.74,0.26,889,799,90,674,125,1,0.9,0.1,0.84,0.16,1,1512,1102,841,1,0.73,0.56,595,11,1,0.02,1132,762,87,41,29,15,198,1,0.67,0.08,0.04,0.03,0.01,0.17,34.49,799,89,117,64,89,126,314,1,0.11,0.15,0.08,0.11,0.16,0.39,116071.43,889,848,24,14,0,0,0,0,3,0,1,0.95,0.03,0.02,0,0,0,0,0,0,674,16,0,10,4,75,158,402,114,1,0.02,0,0.01,0.01,0.11,0.23,0.6,0.17,624579.12,799,0,157,235,364,1,0,0.2,0.29,0.46,125,97,0,0,0,5,17,38,65,28,1,0.78,0,0,0,0.04,0.14,0.3,0.52,0.22,1348.68,366912.6846999973,171378.65430000052
74,BETHESDA,16472,13328,887,1481,60,209,1014,1495,14977,1,0.81,0.05,0.09,0,0.01,0.06,0.09,0.91,16472,830,1953,1023,3625,2540,2217,1708,2576,1,0.05,0.12,0.06,0.22,0.15,0.13,0.1,0.16,8542,4022,4520,3641,4901,1,0.47,0.53,0.43,0.57,9285,8542,743,3057,5485,1,0.92,0.08,0.36,0.64,1,12666,11254,10622,1,0.89,0.84,3641,70,1,0.02,10118,4536,560,2616,1378,282,746,1,0.45,0.06,0.26,0.14,0.03,0.07,29.94,8542,931,927,1341,887,1607,2849,1,0.11,0.11,0.16,0.1,0.19,0.33,105756.07,9285,2025,445,35,232,521,333,5674,20,0,1,0.22,0.05,0,0.02,0.06,0.04,0.61,0,0,3057,25,0,16,7,178,481,2063,1054,1,0.01,0,0.01,0,0.06,0.16,0.67,0.34,816936.73,8542,1500,4520,2084,426,1,0.18,0.53,0.24,0.05,5485,5449,71,133,50,35,90,1083,4023,36,1,0.99,0.01,0.02,0.01,0.01,0.02,0.2,0.73,0.01,2598.69,391844.5314999968,146277.9530000016
123,BETHESDA SOUTH,13900,11415,731,1202,60,82,820,1183,12717,1,0.82,0.05,0.09,0,0.01,0.06,0.09,0.91,13900,686,1920,815,2573,1970,2107,1640,2189,1,0.05,0.14,0.06,0.19,0.14,0.15,0.12,0.16,6905,2998,3907,3299,3606,1,0.43,0.57,0.48,0.52,7450,6905,545,2902,4003,1,0.93,0.07,0.42,0.58,1,10479,9346,8928,1,0.89,0.85,3299,67,1,0.02,8264,3489,468,2203,1054,279,771,1,0.42,0.06,0.27,0.13,0.03,0.09,31.31,6905,751,656,1018,629,1069,2782,1,0.11,0.1,0.15,0.09,0.15,0.4,118638.91,7450,1986,456,25,208,333,289,4133,20,0,1,0.27,0.06,0,0.03,0.04,0.04,0.55,0,0,2902,28,0,16,7,121,375,1779,1216,1,0.01,0,0.01,0,0.04,0.13,0.61,0.42,896839.33,6905,1026,3525,1962,387,1,0.15,0.51,0.28,0.06,4003,3975,64,108,40,26,66,674,3025,28,1,0.99,0.02,0.03,0.01,0.01,0.02,0.17,0.76,0.01,2668.35,391846.53819999844,146034.94619999826
52,BOWIE STATE,5717,1680,3427,229,0,174,414,401,5316,1,0.29,0.6,0.04,0,0.03,0.07,0.07,0.93,5717,232,811,1628,510,653,858,641,384,1,0.04,0.14,0.28,0.09,0.11,0.15,0.11,0.07,1315,228,1087,1065,250,1,0.17,0.83,0.81,0.19,1335,1315,20,1237,78,1,0.99,0.01,0.94,0.06,1,3046,1841,1404,1,0.6,0.46,1065,9,1,0.01,2837,1834,417,251,131,16,188,1,0.65,0.15,0.09,0.05,0.01,0.07,34.54,1315,30,98,120,230,352,485,1,0.02,0.07,0.09,0.17,0.27,0.37,125497.16,1335,1266,69,0,0,0,0,0,0,0,1,0.95,0.05,0,0,0,0,0,0,0,1237,49,0,9,41,176,814,271,0,1,0.04,0,0.01,0.03,0.14,0.66,0.22,0,384398.03,1315,32,220,453,494,1,0.02,0.17,0.34,0.38,78,68,0,0,0,0,0,26,52,10,1,0.87,0,0,0,0,0,0.33,0.67,0.13,2038.62,420366.02160000056,150006.7012999989
94,BOYDS,5864,2861,1089,1721,0,20,346,370,5494,1,0.49,0.19,0.29,0,0,0.06,0.06,0.94,5864,200,1038,693,476,773,1115,835,734,1,0.03,0.18,0.12,0.08,0.13,0.19,0.14,0.13,1708,266,1442,1442,266,1,0.16,0.84,0.84,0.16,1780,1708,72,1530,178,1,0.96,0.04,0.9,0.1,1,3933,2968,2418,1,0.75,0.61,1442,34,1,0.02,2881,2026,167,357,23,32,276,1,0.7,0.06,0.12,0.01,0.01,0.1,35.35,1708,122,142,163,166,255,860,1,0.07,0.08,0.1,0.1,0.15,0.5,155930.23,1780,1466,168,14,0,13,0,119,0,0,1,0.82,0.09,0.01,0,0.01,0,0.07,0,0,1530,34,0,21,85,124,171,1255,71,1,0.02,0,0.01,0.06,0.08,0.11,0.82,0.05,661132.81,1708,19,308,768,572,1,0.01,0.18,0.45,0.33,178,169,0,0,0,5,22,20,131,9,1,0.95,0,0,0,0.03,0.12,0.11,0.74,0.05,2502.19,372874.871299997,168498.47679999843
