tract,state_abbr,year,annual_change,hpi,hpi1990,hpi2000,,,,
24001000100,MD,2001,,100,,,,,,
24001000100,MD,2002,3.8,103.8,,,,,,
24001000100,MD,2003,-3.94,99.72,,,,,,
24001000100,MD,2004,11.69,111.37,,,,,,
24001000100,MD,2005,11.63,124.32,,,,,,
24001000100,MD,2006,8.51,134.9,,,,,,
24001000100,MD,2007,10.46,149.01,,,,,,
24001000100,MD,2008,-1.03,147.48,,,,,,
24001000100,MD,2009,-2.23,144.19,,,,,,
24001000100,MD,2010,-4.59,137.58,,,,,,
24001000100,MD,2011,-5.22,130.4,,,,,,
24001000100,MD,2012,-3.62,125.67,,,,,,
24001000100,MD,2013,-5.47,118.8,,,,,,
24001000100,MD,2014,9.91,130.57,,,,,,
24001000100,MD,2015,-5.71,123.12,,,,,,
24001000100,MD,2016,-6.35,115.3,,,,,,
24001000100,MD,2017,4.11,120.04,,,,,,
24001000100,MD,2018,-11.76,105.93,,,,,,
24001000100,MD,2019,1.61,107.64,,,,,,
24001000200,MD,2002,,100,,,,,,
24001000200,MD,2003,4.51,104.51,,,,,,
24001000200,MD,2004,11.82,116.86,,,,,,
24001000200,MD,2005,9.94,128.48,,,,,,
24001000200,MD,2006,9.59,140.8,,,,,,
24001000200,MD,2007,18.9,167.41,,,,,,
24001000200,MD,2008,-1.8,164.4,,,,,,
24001000200,MD,2009,-5.04,156.12,,,,,,
24001000200,MD,2010,-0.7,155.03,,,,,,
24001000200,MD,2011,-5.63,146.31,,,,,,
24001000200,MD,2012,3.34,151.19,,,,,,
24001000200,MD,2013,-0.56,150.33,,,,,,
24001000200,MD,2014,-2.45,146.66,,,,,,
24001000200,MD,2015,,,,,,,,
24001000200,MD,2016,,160.65,,,,,,
24001000200,MD,2017,,,,,,,,
24001000200,MD,2018,,133.97,,,,,,
24001000200,MD,2019,,,,,,,,
24001000300,MD,2001,,100,,,,,,
24001000300,MD,2002,6.31,106.31,,,,,,
24001000300,MD,2003,2.13,108.57,,,,,,
24001000300,MD,2004,3.08,111.91,,,,,,
24001000300,MD,2005,7.3,120.08,,,,,,
24001000300,MD,2006,27.69,153.34,,,,,,
24001000300,MD,2007,1.72,155.97,,,,,,
24001000300,MD,2008,-6.29,146.16,,,,,,
24001000300,MD,2009,3.96,151.94,,,,,,
24001000300,MD,2010,-10.67,135.73,,,,,,
24001000300,MD,2011,1.26,137.44,,,,,,
24001000300,MD,2012,9.31,150.23,,,,,,
24001000300,MD,2013,-15.08,127.57,,,,,,
24001000300,MD,2014,1.92,130.03,,,,,,
