OBJECTID,STATION_NAME,Total number of jobs,Number of jobs for workers age 29 or younger,Number of jobs for workers age 30 to 54,Number of jobs for workers age 55 or older,Number of jobs with earnings $1250/month or less,Number of jobs with earnings $1251/month to $3333/month,Number of jobs with earnings greater than $3333/month,"Number of jobs in NAICS sector 11 (Agriculture, Forestry, Fishing and Hunting)","Number of jobs in NAICS sector 21 (Mining, Quarrying, and Oil and Gas Extraction)",Number of jobs in NAICS sector 22 (Utilities),Number of jobs in NAICS sector 23 (Construction),Number of jobs in NAICS sector 31-33 (Manufacturing),Number of jobs in NAICS sector 42 (Wholesale Trade),Number of jobs in NAICS sector 44-45 (Retail Trade),Number of jobs in NAICS sector 48-49 (Transportation and Warehousing),Number of jobs in NAICS sector 51 (Information),Number of jobs in NAICS sector 52 (Finance and Insurance),Number of jobs in NAICS sector 53 (Real Estate and Rental and Leasing),"Number of jobs in NAICS sector 54 (Professional, Scientific, and Technical Services)",Number of jobs in NAICS sector 55 (Management of Companies and Enterprises),Number of jobs in NAICS sector 56 (Administrative and Support and Waste Management and Remediation Services),Number of jobs in NAICS sector 61 (Educational Services),Number of jobs in NAICS sector 62 (Health Care and Social Assistance),"Number of jobs in NAICS sector 71 (Arts, Entertainment, and Recreation)",Number of jobs in NAICS sector 72 (Accommodation and Food Services),Number of jobs in NAICS sector 81 (Other Services [except Public Administration]),Number of jobs in NAICS sector 92 (Public Administration),Percent of jobs for workers age 29 or younger,Percent of jobs for workers age 30 to 54,Percent of jobs for workers age 55 or older,Percent of jobs with earnings $1250/month or less,Percent of jobs with earnings $1251/month to $3333/month,Percent of jobs with earnings greater than $3333/month,"Percent of jobs in NAICS sector 11 (Agriculture, Forestry, Fishing and Hunting)","Percent of jobs in NAICS sector 21 (Mining, Quarrying, and Oil and Gas Extraction)",Percent of jobs in NAICS sector 22 (Utilities),Percent of jobs in NAICS sector 23 (Construction),Percent of jobs in NAICS sector 31-33 (Manufacturing),Percent of jobs in NAICS sector 42 (Wholesale Trade),Percent of jobs in NAICS sector 44-45 (Retail Trade),Percent of jobs in NAICS sector 48-49 (Transportation and Warehousing),Percent of jobs in NAICS sector 51 (Information),Percent of jobs in NAICS sector 52 (Finance and Insurance),Percent of jobs in NAICS sector 53 (Real Estate and Rental and Leasing),"Percent of jobs in NAICS sector 54 (Professional, Scientific, and Technical Services)",Percent of jobs in NAICS sector 55 (Management of Companies and Enterprises),Percent of jobs in NAICS sector 56 (Administrative and Support and Waste Management and Remediation Services),Percent of jobs in NAICS sector 61 (Educational Services),Percent of jobs in NAICS sector 62 (Health Care and Social Assistance),"Percent of jobs in NAICS sector 71 (Arts, Entertainment, and Recreation)",Percent of jobs in NAICS sector 72 (Accommodation and Food Services),Percent of jobs in NAICS sector 81 (Other Services [except Public Administration]),Percent of jobs in NAICS sector 92 (Public Administration),x,y
9,FALLS ROAD,5143,1103,2788,1252,856,1381,2906,0,0,0,462,119,68,364,114,115,288,296,831,0,381,1175,195,293,170,272,0,0.21446627,0.54209605,0.24343768,0.16643982,0.26852032,0.56503986,0,0,0,0.08983084,0.02313825,0.01322186,0.07077581,0.02216605,0.02236049,0.05599844,0.05755396,0.16157885,0,0.07408128,0.22846588,0.03791561,0.05697064,0.03305464,0.05288742,0,430180.2946,189874.67
10,MOUNT WASHINGTON,5809,1305,3118,1386,1049,1695,3065,0,0,0,263,91,78,367,115,116,306,301,861,0,403,1220,822,255,306,305,0,0.2246514,0.53675331,0.23859528,0.18058186,0.2917886,0.52762954,0,0,0,0.04527457,0.01566535,0.01342744,0.06317783,0.01979687,0.01996901,0.05267688,0.05181615,0.14821828,0,0.06937511,0.21001894,0.14150456,0.0438974,0.05267688,0.05250473,0,429973.4889,188964.8767
11,COLD SPRING LANE,4788,1110,2517,1161,986,1503,2299,3,0,0,20,436,128,309,7,560,192,203,451,29,166,952,778,19,403,132,0,0.23182957,0.52568922,0.2424812,0.2059315,0.31390977,0.48015873,0.00062657,0,0,0.00417711,0.09106099,0.0267335,0.06453634,0.00146199,0.11695906,0.04010025,0.04239766,0.09419382,0.00605681,0.03467001,0.19883041,0.16248956,0.00396825,0.08416876,0.02756892,0,430349.3214,186284.1779
12,WOODBERRY,5648,1650,2904,1094,1531,1703,2414,0,0,0,99,714,238,212,109,592,93,110,381,235,53,789,830,91,551,526,25,0.29213881,0.51416431,0.19369688,0.27106941,0.30152266,0.42740793,0,0,0,0.01752833,0.12641643,0.04213881,0.03753541,0.01929887,0.10481586,0.01646601,0.01947592,0.06745751,0.04160765,0.00938385,0.13969547,0.14695467,0.0161119,0.09755666,0.09313031,0.00442635,430732.4442,184869.1551
13,NORTH AVENUE,11434,2320,6297,2817,3009,3849,4576,0,0,0,304,94,99,642,501,109,125,270,944,93,1056,2189,1870,376,1286,1000,476,0.20290362,0.5507259,0.24637047,0.2631625,0.3366276,0.4002099,0,0,0,0.02658737,0.0082211,0.00865839,0.05614833,0.04381669,0.00953297,0.01093231,0.02361378,0.08256078,0.00813364,0.09235613,0.19144656,0.16354732,0.03288438,0.11247158,0.08745846,0.04163023,432548.8018,182691.1339
14,UNIVERSITY OF BALTIMORE-MOUNT ROYAL,19824,3193,10961,5670,3580,6568,9676,0,0,0,287,93,178,494,464,90,258,400,1084,93,1449,2542,2950,410,1411,974,6647,0.16106739,0.55291566,0.28601695,0.18058919,0.33131558,0.48809524,0,0,0,0.0144774,0.00469128,0.00897902,0.02491929,0.02340597,0.00453995,0.01301453,0.02017756,0.0546812,0.00469128,0.07309322,0.12822841,0.14880952,0.020682,0.07117635,0.04913237,0.33530065,432782.1916,182199.4124
15,PENN STATION,22280,3727,12606,5947,3736,6819,11725,0,0,0,289,94,178,446,471,651,261,373,1341,108,1482,2407,3411,600,1408,1195,7565,0.16728007,0.56579892,0.26692101,0.16768402,0.30605925,0.52625673,0,0,0,0.01297128,0.00421903,0.00798923,0.02001795,0.02114004,0.02921903,0.01171454,0.01674147,0.06018851,0.0048474,0.06651706,0.10803411,0.15309695,0.02692998,0.06319569,0.05363555,0.33954219,433150.6374,182201.1882
16,CENTRE STREET,100540,16050,59127,25363,10970,25605,63965,1,0,2959,1578,114,580,1507,2636,2598,6476,1365,10145,592,5417,9569,20731,1389,4217,2528,26138,0.15963796,0.58809429,0.25226775,0.1091108,0.25467476,0.63621444,0.00000995,0,0.02943107,0.01569525,0.00113388,0.00576885,0.01498906,0.02621842,0.02584046,0.06441217,0.01357669,0.10090511,0.0058882,0.05387905,0.09517605,0.20619654,0.0138154,0.04194351,0.02514422,0.25997613,432785.5194,181010.2635
17,UNIVERSITY CENTER-BALTIMORE STREET,92138,16551,53376,22211,12248,23519,56371,1,0,2959,1570,143,676,1553,2724,2344,6625,1388,10498,567,5178,8506,19088,2685,6986,2053,16594,0.17963273,0.57930496,0.24106232,0.13293104,0.25525842,0.61181055,0.00001085,0,0.03211487,0.01703966,0.00155202,0.00733682,0.01685515,0.02956435,0.0254401,0.07190302,0.01506436,0.11393779,0.00615381,0.05619831,0.09231805,0.20716751,0.02914107,0.07582105,0.0222818,0.18009942,432829.2545,180114.4357
18,CONVENTION CENTER,92225,17034,53168,22023,12478,23843,55904,1,0,2967,1801,488,989,1692,2749,1277,6496,1241,10321,573,5753,7894,18057,4576,6927,1995,16428,0.18470046,0.57650312,0.23879642,0.13529954,0.25853077,0.60616969,0.00001084,0,0.03217132,0.01952833,0.00529141,0.01072377,0.01834644,0.02980754,0.01384657,0.07043643,0.01345622,0.11191109,0.00621307,0.06238005,0.08559501,0.1957929,0.04961778,0.07510979,0.02163188,0.17812957,432836.4033,179791.6038
