,gis_join_match_code,state_code,county_name,county_code,census_tract_code,block_group_code,area_name,medhsinc,total,occupied,vacant,full_bg_int,occrate
54,G24000307011011,24,Anne Arundel County,3,701101,1,"Block Group 1, Census Tract 7011.01, Anne Arundel County, Maryland",134500.0,276,276,0,24000307011011,1.0
55,G24000307011012,24,Anne Arundel County,3,701101,2,"Block Group 2, Census Tract 7011.01, Anne Arundel County, Maryland",96375.0,435,351,84,24000307011012,0.8068965517241379
56,G24000307011013,24,Anne Arundel County,3,701101,3,"Block Group 3, Census Tract 7011.01, Anne Arundel County, Maryland",62583.0,354,329,25,24000307011013,0.9293785310734464
57,G24000307011014,24,Anne Arundel County,3,701101,4,"Block Group 4, Census Tract 7011.01, Anne Arundel County, Maryland",170833.0,561,528,33,24000307011014,0.9411764705882353
58,G24000307011021,24,Anne Arundel County,3,701102,1,"Block Group 1, Census Tract 7011.02, Anne Arundel County, Maryland",109091.0,1200,1184,16,24000307011021,0.9866666666666667
59,G24000307011022,24,Anne Arundel County,3,701102,2,"Block Group 2, Census Tract 7011.02, Anne Arundel County, Maryland",65682.0,329,314,15,24000307011022,0.9544072948328267
60,G24000307011023,24,Anne Arundel County,3,701102,3,"Block Group 3, Census Tract 7011.02, Anne Arundel County, Maryland",74583.0,819,802,17,24000307011023,0.9792429792429792
61,G24000307011024,24,Anne Arundel County,3,701102,4,"Block Group 4, Census Tract 7011.02, Anne Arundel County, Maryland",90820.0,891,891,0,24000307011024,1.0
62,G24000307012001,24,Anne Arundel County,3,701200,1,"Block Group 1, Census Tract 7012, Anne Arundel County, Maryland",133031.0,1018,911,107,24000307012001,0.8948919449901768
63,G24000307012002,24,Anne Arundel County,3,701200,2,"Block Group 2, Census Tract 7012, Anne Arundel County, Maryland",122039.0,670,529,141,24000307012002,0.7895522388059701
64,G24000307012003,24,Anne Arundel County,3,701200,3,"Block Group 3, Census Tract 7012, Anne Arundel County, Maryland",100884.0,853,839,14,24000307012003,0.9835873388042204
65,G24000307012004,24,Anne Arundel County,3,701200,4,"Block Group 4, Census Tract 7012, Anne Arundel County, Maryland",129432.0,894,786,108,24000307012004,0.8791946308724832
66,G24000307013001,24,Anne Arundel County,3,701300,1,"Block Group 1, Census Tract 7013, Anne Arundel County, Maryland",137721.0,599,599,0,24000307013001,1.0
67,G24000307013002,24,Anne Arundel County,3,701300,2,"Block Group 2, Census Tract 7013, Anne Arundel County, Maryland",199375.0,746,746,0,24000307013002,1.0
68,G24000307013003,24,Anne Arundel County,3,701300,3,"Block Group 3, Census Tract 7013, Anne Arundel County, Maryland",140679.0,457,417,40,24000307013003,0.912472647702407
69,G24000307013004,24,Anne Arundel County,3,701300,4,"Block Group 4, Census Tract 7013, Anne Arundel County, Maryland",103851.0,1054,982,72,24000307013004,0.9316888045540797
70,G24000307014001,24,Anne Arundel County,3,701400,1,"Block Group 1, Census Tract 7014, Anne Arundel County, Maryland",86111.0,453,372,81,24000307014001,0.8211920529801324
71,G24000307014002,24,Anne Arundel County,3,701400,2,"Block Group 2, Census Tract 7014, Anne Arundel County, Maryland",153750.0,892,867,25,24000307014002,0.9719730941704036
72,G24000307021001,24,Anne Arundel County,3,702100,1,"Block Group 1, Census Tract 7021, Anne Arundel County, Maryland",124208.0,1052,951,101,24000307021001,0.9039923954372624
73,G24000307021002,24,Anne Arundel County,3,702100,2,"Block Group 2, Census Tract 7021, Anne Arundel County, Maryland",159911.0,364,319,45,24000307021002,0.8763736263736264
74,G24000307021003,24,Anne Arundel County,3,702100,3,"Block Group 3, Census Tract 7021, Anne Arundel County, Maryland",72794.0,674,674,0,24000307021003,1.0
75,G24000307021004,24,Anne Arundel County,3,702100,4,"Block Group 4, Census Tract 7021, Anne Arundel County, Maryland",137829.0,455,443,12,24000307021004,0.9736263736263736
76,G24000307021005,24,Anne Arundel County,3,702100,5,"Block Group 5, Census Tract 7021, Anne Arundel County, Maryland",102568.0,335,250,85,24000307021005,0.746268656716418
77,G24000307022041,24,Anne Arundel County,3,702204,1,"Block Group 1, Census Tract 7022.04, Anne Arundel County, Maryland",174107.0,755,755,0,24000307022041,1.0
78,G24000307022042,24,Anne Arundel County,3,702204,2,"Block Group 2, Census Tract 7022.04, Anne Arundel County, Maryland",102212.0,790,763,27,24000307022042,0.9658227848101266
79,G24000307022051,24,Anne Arundel County,3,702205,1,"Block Group 1, Census Tract 7022.05, Anne Arundel County, Maryland",119583.0,803,803,0,24000307022051,1.0
80,G24000307022052,24,Anne Arundel County,3,702205,2,"Block Group 2, Census Tract 7022.05, Anne Arundel County, Maryland",100100.0,1036,966,70,24000307022052,0.9324324324324325
81,G24000307022053,24,Anne Arundel County,3,702205,3,"Block Group 3, Census Tract 7022.05, Anne Arundel County, Maryland",178750.0,543,508,35,24000307022053,0.9355432780847146
82,G24000307022061,24,Anne Arundel County,3,702206,1,"Block Group 1, Census Tract 7022.06, Anne Arundel County, Maryland",118011.0,937,937,0,24000307022061,1.0
83,G24000307022062,24,Anne Arundel County,3,702206,2,"Block Group 2, Census Tract 7022.06, Anne Arundel County, Maryland",83042.0,865,837,28,24000307022062,0.9676300578034682
84,G24000307022063,24,Anne Arundel County,3,702206,3,"Block Group 3, Census Tract 7022.06, Anne Arundel County, Maryland",160865.0,647,607,40,24000307022063,0.9381761978361669
85,G24000307022081,24,Anne Arundel County,3,702208,1,"Block Group 1, Census Tract 7022.08, Anne Arundel County, Maryland",103448.0,2104,2002,102,24000307022081,0.9515209125475285
86,G24000307022082,24,Anne Arundel County,3,702208,2,"Block Group 2, Census Tract 7022.08, Anne Arundel County, Maryland",136492.0,742,697,45,24000307022082,0.9393530997304582
87,G24000307022091,24,Anne Arundel County,3,702209,1,"Block Group 1, Census Tract 7022.09, Anne Arundel County, Maryland",176622.0,398,398,0,24000307022091,1.0
88,G24000307022092,24,Anne Arundel County,3,702209,2,"Block Group 2, Census Tract 7022.09, Anne Arundel County, Maryland",133053.0,477,477,0,24000307022092,1.0
89,G24000307022093,24,Anne Arundel County,3,702209,3,"Block Group 3, Census Tract 7022.09, Anne Arundel County, Maryland",145917.0,601,579,22,24000307022093,0.9633943427620633
90,G24000307023001,24,Anne Arundel County,3,702300,1,"Block Group 1, Census Tract 7023, Anne Arundel County, Maryland",137125.0,287,227,60,24000307023001,0.7909407665505227
91,G24000307023002,24,Anne Arundel County,3,702300,2,"Block Group 2, Census Tract 7023, Anne Arundel County, Maryland",200833.0,610,610,0,24000307023002,1.0
92,G24000307023003,24,Anne Arundel County,3,702300,3,"Block Group 3, Census Tract 7023, Anne Arundel County, Maryland",152375.0,525,525,0,24000307023003,1.0
93,G24000307023004,24,Anne Arundel County,3,702300,4,"Block Group 4, Census Tract 7023, Anne Arundel County, Maryland",109821.0,637,637,0,24000307023004,1.0
94,G24000307024021,24,Anne Arundel County,3,702402,1,"Block Group 1, Census Tract 7024.02, Anne Arundel County, Maryland",94053.0,1058,793,265,24000307024021,0.7495274102079396
95,G24000307024022,24,Anne Arundel County,3,702402,2,"Block Group 2, Census Tract 7024.02, Anne Arundel County, Maryland",109231.0,1649,1624,25,24000307024022,0.9848392965433597
96,G24000307024023,24,Anne Arundel County,3,702402,3,"Block Group 3, Census Tract 7024.02, Anne Arundel County, Maryland",104875.0,958,713,245,24000307024023,0.744258872651357
97,G24000307025001,24,Anne Arundel County,3,702500,1,"Block Group 1, Census Tract 7025, Anne Arundel County, Maryland",160750.0,420,360,60,24000307025001,0.8571428571428571
98,G24000307025002,24,Anne Arundel County,3,702500,2,"Block Group 2, Census Tract 7025, Anne Arundel County, Maryland",91983.0,495,434,61,24000307025002,0.8767676767676768
99,G24000307025003,24,Anne Arundel County,3,702500,3,"Block Group 3, Census Tract 7025, Anne Arundel County, Maryland",76450.0,887,887,0,24000307025003,1.0
100,G24000307025004,24,Anne Arundel County,3,702500,4,"Block Group 4, Census Tract 7025, Anne Arundel County, Maryland",137558.0,507,423,84,24000307025004,0.834319526627219
101,G24000307026011,24,Anne Arundel County,3,702601,1,"Block Group 1, Census Tract 7026.01, Anne Arundel County, Maryland",,244,198,46,24000307026011,0.8114754098360656
102,G24000307026012,24,Anne Arundel County,3,702601,2,"Block Group 2, Census Tract 7026.01, Anne Arundel County, Maryland",125671.0,660,624,36,24000307026012,0.9454545454545454
103,G24000307026013,24,Anne Arundel County,3,702601,3,"Block Group 3, Census Tract 7026.01, Anne Arundel County, Maryland",96063.0,330,317,13,24000307026013,0.9606060606060606
104,G24000307026014,24,Anne Arundel County,3,702601,4,"Block Group 4, Census Tract 7026.01, Anne Arundel County, Maryland",130265.0,400,389,11,24000307026014,0.9725
105,G24000307026015,24,Anne Arundel County,3,702601,5,"Block Group 5, Census Tract 7026.01, Anne Arundel County, Maryland",61638.0,632,632,0,24000307026015,1.0
106,G24000307026021,24,Anne Arundel County,3,702602,1,"Block Group 1, Census Tract 7026.02, Anne Arundel County, Maryland",152050.0,1015,947,68,24000307026021,0.9330049261083744
107,G24000307026022,24,Anne Arundel County,3,702602,2,"Block Group 2, Census Tract 7026.02, Anne Arundel County, Maryland",149063.0,1212,1114,98,24000307026022,0.9191419141914191
108,G24000307026023,24,Anne Arundel County,3,702602,3,"Block Group 3, Census Tract 7026.02, Anne Arundel County, Maryland",90833.0,496,476,20,24000307026023,0.9596774193548387
109,G24000307027011,24,Anne Arundel County,3,702701,1,"Block Group 1, Census Tract 7027.01, Anne Arundel County, Maryland",80817.0,456,413,43,24000307027011,0.9057017543859649
110,G24000307027012,24,Anne Arundel County,3,702701,2,"Block Group 2, Census Tract 7027.01, Anne Arundel County, Maryland",129250.0,727,628,99,24000307027012,0.8638239339752407
111,G24000307027013,24,Anne Arundel County,3,702701,3,"Block Group 3, Census Tract 7027.01, Anne Arundel County, Maryland",96159.0,1282,1225,57,24000307027013,0.9555382215288611
