,jurscode,acctid,digxcord,digycord,ooi,resityp,desclu,acres,pflw,sqftstrc,strugrad,desccnst,descstyl,descbldg,lastassd,convey1,tradate,salepric,taxbase,geometry,fips,ct,bg,age,station_name,line,mta_metro,light_rail,marc_penn,marc_camden,x,y,dist_stat,lndist_stat,halfmi_dummy,qmi_dummy,road_name,dist_exit,prsqf,mhinc,occrate
6,ANNE,020538590046601,432719.2,173057.6,H,SF,Residential,0.165,0,1364,3.0,CNST Siding,STRY 2 Story With Basement,DWEL Standard Unit,2017.0,1,2018,293000,234800.0,POINT (432719.200000003 173057.6000000015),003,750202,1,31.0,BALTIMORE HIGHLANDS,Light Rail,0,1,0,0,431691.342,174170.24,1514.7474501601848,7.323004004483319,0,0,HARBOR TUNNEL THRUWAY,553.0597656869545,214.80938416422288,77786.0,0.9270186335403726
114,ANNE,020515416632000,431001.9,168327.2,H,SF,Residential,0.215,0,1536,3.0,CNST Siding,STRY 1 1/2 Story With Basement,DWEL Standard Unit,2017.0,1,2017,252000,256000.0,POINT (431001.8999999985 168327.1999999993),003,750801,4,59.0,FERNDALE,Light Rail,0,1,0,0,431092.8628,168447.0367,150.44954520097227,5.0136277801467415,0,1,BALTO ANNAPOLIS BLVD,804.9914728051169,164.0625,90705.0,0.9809921186833566
115,ANNE,020515415207570,430952.3,168332.1,H,SF,Residential,0.172,0,1608,3.0,CNST Stucco,STRY 1 1/2 Story With Basement,DWEL Standard Unit,2017.0,1,2016,250000,255300.0,POINT (430952.299999997 168332.1000000015),003,750801,4,65.0,FERNDALE,Light Rail,0,1,0,0,431092.8628,168447.0367,181.5718748904282,5.201651580221598,0,1,BALTO ANNAPOLIS BLVD,836.842127615159,155.4726368159204,90705.0,0.9809921186833566
116,ANNE,020515416094400,430901.4,168278.7,H,SF,Residential,0.172,0,1452,3.0,CNST Siding,STRY 2 Story With Basement,DWEL Standard Unit,2017.0,1,2018,300000,250900.0,POINT (430901.3999999985 168278.6999999993),003,750801,4,78.0,FERNDALE,Light Rail,0,1,0,0,431092.8628,168447.0367,254.94165676003482,5.541034721960924,0,1,BALTO ANNAPOLIS BLVD,825.9854694349141,206.61157024793388,90705.0,0.9809921186833566
117,ANNE,020532603785605,432475.9,166046.3,H,SF,Residential,0.21,0,2090,3.0,CNST Siding,STRY 2 Story With Basement,DWEL Standard Unit,2017.0,1,2018,409900,316600.0,POINT (432475.8999999985 166046.3000000007),003,750900,2,27.0,CROMWELL-GLEN BURNIE,Light Rail,0,1,0,0,431706.3746,167179.0889,1369.4451552378516,7.222160940612319,0,0,DONALDSON AVE,1515.6756471172273,196.1244019138756,56063.0,1.0
118,ANNE,020532690040655,432161.8,166261.3,H,SF,Residential,0.172,0,1525,3.0,CNST Stucco,STRY 1 1/2 Story With Basement,DWEL Standard Unit,2017.0,1,2014,225000,235100.0,POINT (432161.799999997 166261.3000000007),003,750900,2,64.0,CROMWELL-GLEN BURNIE,Light Rail,0,1,0,0,431706.3746,167179.0889,1024.5724766576104,6.9320307086200055,0,0,NO NAME,1238.9822407823292,147.54098360655738,56063.0,1.0
119,ANNE,020532606115000,432078.8,166297.9,H,SF,Residential,0.164,0,1200,3.0,CNST Siding,STRY 2 Story With Basement,DWEL Standard Unit,2017.0,1,2018,170000,214700.0,POINT (432078.799999997 166297.8999999985),003,750900,2,65.0,CROMWELL-GLEN BURNIE,Light Rail,0,1,0,0,431706.3746,167179.0889,956.6580141559442,6.863445975608361,0,0,NO NAME,1150.637181403284,141.66666666666666,56063.0,1.0
120,ANNE,020532613519600,431970.7,166306.0,H,SF,Residential,0.172,0,1395,3.0,CNST Siding,STRY 1 1/2 Story With Basement,DWEL Standard Unit,2017.0,1,2018,265000,227400.0,POINT (431970.700000003 166306),003,750900,2,69.0,CROMWELL-GLEN BURNIE,Light Rail,0,1,0,0,431706.3746,167179.0889,912.2237359277382,6.8158852844693705,0,0,NO NAME,1042.8661251189212,189.9641577060932,56063.0,1.0
121,ANNE,020532616809300,431941.8,166461.2,H,SF,Residential,0.172,0,1174,3.0,CNST Siding,STRY 1 1/2 Story With Basement,DWEL Standard Unit,2017.0,1,2017,275000,223000.0,POINT (431941.799999997 166461.1999999993),003,750900,3,64.0,CROMWELL-GLEN BURNIE,Light Rail,0,1,0,0,431706.3746,167179.0889,755.5061824419764,6.6273879649248135,1,0,NO NAME,996.3374823226746,234.2419080068143,56063.0,1.0
122,ANNE,020532610910200,431889.0,166558.6,H,SF,Residential,0.303,0,1317,3.0,CNST Siding,STRY 1 1/2 Story With Basement,DWEL Standard Unit,2017.0,1,2018,257500,212300.0,POINT (431889 166558.6000000015),003,750900,3,78.0,CROMWELL-GLEN BURNIE,Light Rail,0,1,0,0,431706.3746,167179.0889,646.8063943302747,6.472047013755313,1,0,NO NAME,944.4796414366657,195.5201214882308,56063.0,1.0
123,ANNE,020592513953800,431817.2,166609.7,H,SF,Residential,0.147,0,1296,3.0,CNST Siding,STRY 1 1/2 Story With Basement,DWEL Standard Unit,2017.0,1,2017,229000,231300.0,POINT (431817.200000003 166609.6999999993),003,750900,3,64.0,CROMWELL-GLEN BURNIE,Light Rail,0,1,0,0,431706.3746,167179.0889,580.0741234789621,6.363155894476514,1,0,NO NAME,877.6659379609105,176.69753086419752,56063.0,1.0
124,ANNE,020592508988000,431800.4,166617.3,H,SF,Residential,0.147,0,1243,3.0,CNST Siding,STRY 1 1/2 Story With Basement,DWEL Standard Unit,2017.0,1,2018,260000,223200.0,POINT (431800.3999999985 166617.3000000007),003,750900,3,65.0,CROMWELL-GLEN BURNIE,Light Rail,0,1,0,0,431706.3746,167179.0889,569.6029705042444,6.344939575154822,1,0,NO NAME,861.9879655822132,209.1713596138375,56063.0,1.0
125,ANNE,020592516891000,431782.0,166577.1,H,SF,Residential,0.147,0,1200,3.0,CNST Siding,STRY 1 1/2 Story With Basement,DWEL Standard Unit,2017.0,1,2018,260000,199200.0,POINT (431782 166577.1000000015),003,750900,3,65.0,CROMWELL-GLEN BURNIE,Light Rail,0,1,0,0,431706.3746,167179.0889,606.7205591098606,6.408068321154825,1,0,NO NAME,839.1731677077273,216.66666666666666,56063.0,1.0
