GISJOIN,YEAR,REGIONA,DIVISIONA,STATE,STATEA,COUNTY,COUNTYA,COUSUBA,PLACEA,TRACTA,BLKGRPA,CONCITA,AIANHHA,RES_ONLYA,TRUSTA,AITSCEA,ANRCA,CBSAA,CSAA,METDIVA,NECTAA,CNECTAA,NECTADIVA,UAA,CDCURRA,SLDUA,SLDLA,ZCTA5A,SUBMCDA,SDELMA,SDSECA,SDUNIA,PUMA5A,NAME,BTTRA,BTBGA,AJZAE001,AJ1TE001,AJ1TE002,AJ1TE003
GIS Join Match Code,Data File Year,Region Code,Division Code,State Name,State Code,County Name,County Code,County Subdivision Code,Place Code,Census Tract Code,Block Group Code,Consolidated City Code,American Indian Area/Alaska Native Area/Hawaiian Home Land Code,American Indian Area/Alaska Native Area (Reservation or Statistical Entity Only) Code,American Indian Area (Off-Reservation Trust Land Only)/Hawaiian Home Land Code,Tribal Subdivision/Remainder Code,Alaska Native Regional Corporation Code,Metropolitan Statistical Area/Micropolitan Statistical Area Code,Combined Statistical Area Code,Metropolitan Division Code,New England City and Town Area Code,Combined New England City and Town Area Code,New England City and Town Area Division Code,Urban Area Code,"Congressional District (2019-2021, 116th Congress) Code",State Legislative District (Upper Chamber) Code,State Legislative District (Lower Chamber) Code,5-Digit ZIP Code Tabulation Area Code,Subminor Civil Division Code,School District (Elementary)/Remainder Code,School District (Secondary)/Remainder Code,School District (Unified)/Remainder Code,Public Use Microdata Sample Area (PUMA) Code,Area Name,Tribal Census Tract Code,Tribal Block Group Code,Median household income in the past 12 months (in 2018 inflation-adjusted dollars),Total,Occupied,Vacant
"G24000100001001","2014-2018",,,"Maryland","24","Allegany County","001",,,"000100","1",,,,,,,,,,,,,,,,,,,,,,,"Block Group 1, Census Tract 1, Allegany County, Maryland",,,37500,603,284,319
"G24000100001002","2014-2018",,,"Maryland","24","Allegany County","001",,,"000100","2",,,,,,,,,,,,,,,,,,,,,,,"Block Group 2, Census Tract 1, Allegany County, Maryland",,,44813,996,821,175
"G24000100001003","2014-2018",,,"Maryland","24","Allegany County","001",,,"000100","3",,,,,,,,,,,,,,,,,,,,,,,"Block Group 3, Census Tract 1, Allegany County, Maryland",,,51645,590,457,133
"G24000100002001","2014-2018",,,"Maryland","24","Allegany County","001",,,"000200","1",,,,,,,,,,,,,,,,,,,,,,,"Block Group 1, Census Tract 2, Allegany County, Maryland",,,57333,488,298,190
"G24000100002002","2014-2018",,,"Maryland","24","Allegany County","001",,,"000200","2",,,,,,,,,,,,,,,,,,,,,,,"Block Group 2, Census Tract 2, Allegany County, Maryland",,,46125,532,483,49
"G24000100002003","2014-2018",,,"Maryland","24","Allegany County","001",,,"000200","3",,,,,,,,,,,,,,,,,,,,,,,"Block Group 3, Census Tract 2, Allegany County, Maryland",,,52000,383,362,21
"G24000100003001","2014-2018",,,"Maryland","24","Allegany County","001",,,"000300","1",,,,,,,,,,,,,,,,,,,,,,,"Block Group 1, Census Tract 3, Allegany County, Maryland",,,42135,602,497,105
"G24000100003002","2014-2018",,,"Maryland","24","Allegany County","001",,,"000300","2",,,,,,,,,,,,,,,,,,,,,,,"Block Group 2, Census Tract 3, Allegany County, Maryland",,,46250,249,249,0
"G24000100003003","2014-2018",,,"Maryland","24","Allegany County","001",,,"000300","3",,,,,,,,,,,,,,,,,,,,,,,"Block Group 3, Census Tract 3, Allegany County, Maryland",,,36250,385,336,49
"G24000100004001","2014-2018",,,"Maryland","24","Allegany County","001",,,"000400","1",,,,,,,,,,,,,,,,,,,,,,,"Block Group 1, Census Tract 4, Allegany County, Maryland",,,63393,286,278,8
"G24000100004002","2014-2018",,,"Maryland","24","Allegany County","001",,,"000400","2",,,,,,,,,,,,,,,,,,,,,,,"Block Group 2, Census Tract 4, Allegany County, Maryland",,,40388,747,589,158
"G24000100004003","2014-2018",,,"Maryland","24","Allegany County","001",,,"000400","3",,,,,,,,,,,,,,,,,,,,,,,"Block Group 3, Census Tract 4, Allegany County, Maryland",,,32008,460,379,81
"G24000100005001","2014-2018",,,"Maryland","24","Allegany County","001",,,"000500","1",,,,,,,,,,,,,,,,,,,,,,,"Block Group 1, Census Tract 5, Allegany County, Maryland",,,25781,863,614,249
"G24000100005002","2014-2018",,,"Maryland","24","Allegany County","001",,,"000500","2",,,,,,,,,,,,,,,,,,,,,,,"Block Group 2, Census Tract 5, Allegany County, Maryland",,,28654,231,206,25
"G24000100006001","2014-2018",,,"Maryland","24","Allegany County","001",,,"000600","1",,,,,,,,,,,,,,,,,,,,,,,"Block Group 1, Census Tract 6, Allegany County, Maryland",,,50238,891,802,89
"G24000100006002","2014-2018",,,"Maryland","24","Allegany County","001",,,"000600","2",,,,,,,,,,,,,,,,,,,,,,,"Block Group 2, Census Tract 6, Allegany County, Maryland",,,34500,611,414,197
