OBJECTID,TOD_ID,STATION NAME,YEAR STATION OPENED,SYSTEM,LINE,mta_metro,light_rail,marc_penn,marc_camden,x,y
1,61,HUNT VALLEY,1997,MTA,Light Rail,0,1,0,0,429733.4905,203154.9216
2,129,PEPPER ROAD,1997,MTA,Light Rail,0,1,0,0,429583.4278,202697.5822
3,115,MCCORMICK ROAD,1997,MTA,Light Rail,0,1,0,0,429329.9835,202405.5305
4,103,GILROY ROAD,1997,MTA,Light Rail,0,1,0,0,429101.7748,201587.6796
5,143,WARREN ROAD,1997,MTA,Light Rail,0,1,0,0,429790.3201,200894.4679
6,138,TIMONIUM BUSINESS PARK,1992,MTA,Light Rail,0,1,0,0,432007.2373,196230.3493
7,114,LUTHERVILLE,1992,MTA,Light Rail,0,1,0,0,432102.3738,195694.8997
8,139,TIMONIUM FAIRGROUNDS,1992,MTA,Light Rail,0,1,0,0,431422.0074,197865.5839
9,96,FALLS ROAD,1992,MTA,Light Rail,0,1,0,0,430180.2946,189874.67
10,121,MOUNT WASHINGTON,1992,MTA,Light Rail,0,1,0,0,429973.4889,188964.8767
11,89,COLD SPRING LANE,1997,MTA,Light Rail,0,1,0,0,430349.3214,186284.1779
12,63,WOODBERRY,1992,MTA,Light Rail,0,1,0,0,430732.4442,184869.1551
13,123,NORTH AVENUE,1992,MTA,Light Rail,0,1,0,0,432548.8018,182691.1339
14,141,UNIVERSITY OF BALTIMORE-MOUNT ROYAL,1992,MTA,Light Rail,0,1,0,0,432782.1916,182199.4124
15,2,PENN STATION,1911,"MARC, MTA","Penn, Light Rail",0,1,1,0,433150.6374,182201.1882
16,86,CENTRE STREET,1992,MTA,Light Rail,0,1,0,0,432785.5194,181010.2635
17,140,UNIVERSITY CENTER-BALTIMORE STREET,1992,MTA,Light Rail,0,1,0,0,432829.2545,180114.4357
18,90,CONVENTION CENTER,1992,MTA,Light Rail,0,1,0,0,432836.4033,179791.6038
19,84,CAMDEN YARDS-CAMDEN STATION,1856,"MTA, MARC","Light Rail, Camden",0,1,0,1,432810.5866,179584.0351
20,64,HAMBURG STREET,2005,MTA,Light Rail,0,1,0,0,432785.0876,178999.5102
21,3,WESTPORT,1992,MTA,Light Rail,0,1,0,0,431746.5314,177133.442
22,87,CHERRY HILL,1992,MTA,Light Rail,0,1,0,0,431507.5927,176488.15
23,127,PATAPSCO,1992,MTA,Light Rail,0,1,0,0,431941.7503,174936.2641
24,76,BALTIMORE HIGHLANDS,1992,MTA,Light Rail,0,1,0,0,431691.342,174170.24
25,125,NURSERY ROAD,1992,MTA,Light Rail,0,1,0,0,430965.8917,172660.6003
26,124,NORTH LINTHICUM,1992,MTA,Light Rail,0,1,0,0,430582.2212,171887.4817
27,113,LINTHICUM,1992,MTA,Light Rail,0,1,0,0,429770.0327,170523.205
28,97,FERNDALE,1992,MTA,Light Rail,0,1,0,0,431092.8628,168447.0367
29,91,CROMWELL-GLEN BURNIE,1992,MTA,Light Rail,0,1,0,0,431706.3746,167179.0889
30,81,BWI BUSINESS DISTRICT,1997,MTA,Light Rail,0,1,0,0,428231.8122,169307.2388
31,83,BWI THURGOOD MARSHALL AIRPORT,1997,MTA,Light Rail,0,1,0,0,428531.7094,168348.7582
32,6,OWINGS MILLS,1987,MTA,Metro,1,0,0,0,418957.7138,193253.7227
33,126,OLD COURT,1987,MTA,Metro,1,0,0,0,422040.4864,189255.8957
34,118,MILFORD MILL,1987,MTA,Metro,1,0,0,0,424078.9014,187969.962
35,4,REISTERSTOWN PLAZA,1983,MTA,Metro,1,0,0,0,425453.6389,187117.3261
36,132,ROGERS AVENUE,1983,MTA,Metro,1,0,0,0,426558.0368,186333.4245
37,145,WEST COLD SPRING,1983,MTA,Metro,1,0,0,0,428250.325,185389.4899
38,66,MONDAWMIN,1983,MTA,Metro,1,0,0,0,429951.7065,183352.0018
39,128,PENN-NORTH,1983,MTA,Metro,1,0,0,0,430845.7179,182512.7228
40,142,UPTON,1983,MTA,Metro,1,0,0,0,431343.2757,181940.172
41,74,CHARLES CENTER,1983,MTA,Metro,1,0,0,0,433252.3666,180223.1584
42,134,SHOT TOWER-MARKET PLACE,1995,MTA,Metro,1,0,0,0,433992.6693,180260.7668
43,65,JOHNS HOPKINS HOSPITAL,1995,MTA,Metro,1,0,0,0,435004.9711,181090.7841
44,130,PERRYVILLE,1991,MARC,Penn,0,0,1,0,479595.1237,210374.2822
45,8,ABERDEEN,1991,MARC,Penn,0,0,1,0,471966.3442,204774.2977
46,62,EDGEWOOD,1991,MARC,Penn,0,0,1,0,460907.9122,194425.4001
47,7,MARTIN STATE AIRPORT,1991,MARC,Penn,0,0,1,0,450059.0659,185716.825
48,10,WEST BALTIMORE,1984,MARC,Penn,0,0,1,0,429920.5584,180623.2988
49,105,HALETHORPE,Pre-1980,MARC,Penn,0,0,1,0,426624.3687,174481.9945
50,82,BWI MARSHALL RAIL STATION,1980,MARC,Penn,0,0,1,0,426391.0901,169359.5329
51,1,ODENTON,Pre-1980,MARC,Penn,0,0,1,0,425431.1366,157760.427
52,78,BOWIE STATE,1989,MARC,Penn,0,0,1,0,420366.0216,150006.7013
53,133,SEABROOK,Pre-1980,MARC,Penn,0,0,1,0,413579.4739,145033.7857
56,136,ST. DENIS,Pre-1980,MARC,Camden,0,0,0,1,425579.1017,172964.743
57,95,DORSEY,1996,MARC,Camden,0,0,0,1,422017.9707,168173.0336
58,106,JESSUP,Pre-1980,MARC,Camden,0,0,0,1,419330.4195,164859.6771
59,11,SAVAGE,1989,MARC,Camden,0,0,0,1,417621.4233,161673.7528
60,109,LAUREL RACE TRACK,1994,MARC,Camden,0,0,0,1,414371.7049,159750.2404
61,122,MUIRKIRK,1994,MARC,Camden,0,0,0,1,410026.1033,154994.9169
63,57,RIVERDALE,Pre-1980,MARC,Camden,0,0,0,1,405637.4901,143902.1912
101,9,LAUREL,Pre-1980,MARC,Camden,0,0,0,1,413691.6661,159371.7615
102,92,CULTURAL CENTER,1992,MTA,Light Rail,0,1,0,0,432737.0078,181782.284
103,111,LEXINGTON MARKET-SOUTHBOUND,1992,MTA,Light Rail,0,1,0,0,432821.9538,180370.9544
104,110,LEXINGTON MARKET-NORTHBOUND,1992,MTA,Light Rail,0,1,0,0,432818.7257,180547.6975
105,5,STATE CENTER,1983,MTA,Metro,1,0,0,0,432505.3603,181540.1892
106,112,LEXINGTON MARKET,1983,MTA,Metro,1,0,0,0,432686.3792,180513.3473
